SELECTED COLUMNS;
Diagnosis Treatment Combination ID
mean_open_cases
Diagnosis
Activity code_376400.0
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.9114177781204226
2;225;0.9139078092824331
3;216;0.9172597101946326
4;211;0.9137311286843997
5;205;0.9177951554453557
6;199;0.9123323852092646
7;198;0.9130434782608696
8;196;0.9420335429769391
9;195;0.9682539682539681
10;195;0.9730158730158729
11;193;0.9777056277056276
12;193;0.9794372294372293
13;192;0.9832512315270936
14;191;0.9871539313399778
15;191;0.9871539313399778
16;191;0.9897009966777408
17;190;0.9896019677996422
18;190;0.9926207513416816
19;189;0.9933257918552036
20;187;0.993194925028835
21;185;0.9930588235294118
22;179;0.993483709273183
23;176;0.9932712215320911
24;173;0.9969234884965222
25;155;0.9961435278336687
26;134;0.9952380952380953
27;112;0.9929372663066058
28;106;0.9928861788617886
29;97;0.9915123456790124
30;92;0.9876543209876544
31;90;0.9875
32;86;0.9898989898989898
33;86;0.9898989898989898
34;83;0.986842105263158
35;81;0.9815789473684211
36;79;0.981081081081081
ROC_AUC_SCORE weighted;0.9677207358496791;
F1_SCORE weighted;0.9109387216882568;
