SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
Diagnosis code
mean_open_cases
Activity code_376400.0
Age
Producer code_CHE1
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.7272727272727273
2;227;0.7302164502164502
3;218;0.7672469374597034
4;213;0.7740641711229946
5;207;0.7847152847152847
6;200;0.8200823566677226
7;200;0.8142751557385705
8;198;0.8903080390683697
9;198;0.9289470859718794
10;198;0.9348502736932489
11;195;0.9334140435835352
12;195;0.937046004842615
13;194;0.9422799422799422
14;192;0.9513384754990926
15;192;0.9513384754990926
16;192;0.9511116152450092
17;192;0.9511116152450092
18;192;0.9515653357531761
19;191;0.951258581235698
20;191;0.951258581235698
21;191;0.951258581235698
22;190;0.9509464450600185
23;190;0.9509464450600185
24;189;0.960233918128655
25;189;0.960233918128655
26;189;0.960233918128655
27;185;0.9599311701081612
28;184;0.9594494047619048
29;182;0.9609848484848484
30;182;0.9608585858585859
31;178;0.9597128041483844
32;175;0.9585726004922067
33;172;0.9585477415666095
34;170;0.9583882783882784
35;168;0.9590325018896447
36;165;0.9591293454431571
37;160;0.9579400563007121
38;159;0.9575108732017397
39;157;0.960724043715847
40;157;0.9608948087431693
ROC_AUC_SCORE weighted;0.9154220626375617;
F1_SCORE weighted;0.908967562555585;
