SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
mean_open_cases
Diagnosis code
std_event_nr
mean_event_nr
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;225;0.9486206896551724
2;218;0.9687642291230307
3;203;0.9766231114740711
4;198;0.985214338900117
5;191;0.988245931283906
6;184;0.9878239903556361
7;183;0.9874634858812074
8;180;0.9860884822659481
9;180;0.9865897982203284
10;180;0.9892217069808247
11;178;0.9911775987725354
12;178;0.9923283467587265
13;178;0.9911775987725355
14;176;0.9925616599243116
15;176;0.9902127104267259
16;175;0.9883690192968544
17;175;0.9871794871794872
18;175;0.9867829764736982
19;172;0.9878015350877194
20;170;0.984375
21;165;0.9802234299516909
22;139;0.9796650717703349
23;118;0.9624713958810068
24;107;0.9631751227495909
25;102;0.9561170212765958
26;101;0.9513677811550152
27;96;0.9648148148148148
28;95;0.9662921348314606
29;93;0.9636363636363636
30;92;0.9602272727272727
31;89;0.9764705882352941
ROC_AUC_SCORE weighted;0.9799415123383654;
F1_SCORE weighted;0.7769066511550459;
