SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Treatment code
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.9088998464150028
2;227;0.9082397003745317
3;218;0.9021862207124816
4;213;0.898604566872055
5;207;0.8936393067987051
6;200;0.8869318756959207
7;200;0.8869318756959207
8;198;0.8850633955262344
9;198;0.8850633955262344
10;198;0.8850633955262344
11;195;0.8818104727581089
12;195;0.8818104727581089
13;194;0.8806848582129481
14;192;0.8785862332278828
15;192;0.8785862332278828
16;192;0.8785862332278828
17;192;0.8785862332278828
18;191;0.8854810238305384
19;190;0.8843582887700535
20;190;0.8843582887700535
21;190;0.8843582887700535
22;189;0.8832133213321331
23;189;0.8832133213321331
24;188;0.8821590909090908
25;188;0.8821590909090908
26;188;0.8821590909090908
27;184;0.8823390151515151
28;183;0.8815789473684211
29;180;0.8841923124459276
30;180;0.8841923124459276
31;175;0.8886856545597073
32;172;0.8953488372093024
33;169;0.8924068366489213
34;166;0.8948438634713144
35;163;0.896172393007836
36;160;0.8939536340852131
37;156;0.8933531746031746
38;155;0.8931924882629108
39;153;0.8918219461697723
40;153;0.8918219461697723
ROC_AUC_SCORE weighted;0.8879672726345231;
F1_SCORE weighted;0.8425585346268125;
