SELECTED COLUMNS;
AMOUNT_REQ
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.555111486024349
2;937;0.555111486024349
3;937;0.555111486024349
4;937;0.555111486024349
5;937;0.555111486024349
6;937;0.555111486024349
7;937;0.555111486024349
8;937;0.555111486024349
9;937;0.555111486024349
10;937;0.555111486024349
11;937;0.555111486024349
12;937;0.555111486024349
13;937;0.555111486024349
14;937;0.5784825133372852
15;937;0.5784825133372852
16;937;0.6241142674752633
17;916;0.6301580396581066
18;915;0.6545499410654222
19;897;0.6500499925011248
20;895;0.6740478032411361
21;872;0.6838573252473666
22;864;0.6952868718906824
23;830;0.7039372455259918
24;814;0.7098355882644463
25;770;0.7109801210025929
26;752;0.7126092657342658
27;706;0.7119718368055269
28;686;0.7122019895315685
29;642;0.7276567790186467
30;618;0.7276930573551723
31;582;0.7358107687519452
32;547;0.7400559621179509
33;509;0.7380448297879492
34;483;0.7452664399092971
35;452;0.7581713588424998
36;424;0.7565362840967575
37;399;0.7532850747136461
38;382;0.7532693708242297
39;353;0.756708238851096
40;337;0.7584535906412775
ROC_AUC_SCORE weighted;0.6360582716393077;
F1_SCORE weighted;0.3722701456737641;
