SELECTED COLUMNS;
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
AMOUNT_REQ
Activity_W_Valideren aanvraag-COMPLETE
Activity_A_CANCELLED-COMPLETE
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5540949675771486
2;937;0.5540949675771486
3;937;0.5540949675771486
4;937;0.5540949675771486
5;937;0.5540949675771486
6;937;0.5540949675771486
7;937;0.5540949675771486
8;937;0.5540949675771486
9;937;0.5540949675771486
10;937;0.5540949675771486
11;937;0.5540949675771486
12;937;0.5540949675771486
13;937;0.5540949675771486
14;937;0.6153350728275588
15;937;0.6174571456881461
16;937;0.6879919851152141
17;916;0.6757558817232437
18;915;0.7173674217546542
19;897;0.7119477422498013
20;895;0.754267039062803
21;872;0.7658525361934091
22;864;0.7894874227016374
23;830;0.7899805597807079
24;814;0.810667311837417
25;770;0.8277148073299554
26;752;0.8314185423979502
27;706;0.8301678657074341
28;686;0.8374784632988308
29;642;0.8413603023558058
30;618;0.8441934404283803
31;582;0.840117307513267
32;547;0.8375098399370244
33;509;0.8413227377595489
34;483;0.8406290994125363
35;452;0.8265722049689443
36;424;0.8141049193713001
37;399;0.8261104117964393
38;382;0.8299927202135404
39;353;0.8123486682808716
40;337;0.7936034553681612
ROC_AUC_SCORE weighted;0.6851133195956605;
F1_SCORE weighted;0.16384185755650416;
