SELECTED COLUMNS;
AMOUNT_REQ
Activity_A_PARTLYSUBMITTED-COMPLETE
Activity_A_PREACCEPTED-COMPLETE
Activity_A_DECLINED-COMPLETE
Activity_W_Completeren aanvraag-SCHEDULE
mean_open_cases
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5704712210237072
2;937;0.5704639130053495
3;937;0.5749656523137187
4;937;0.5787840919056388
5;937;0.578214066473735
6;937;0.5710850945657575
7;937;0.5695540647198105
8;937;0.5685163261130112
9;937;0.5692069338478178
10;937;0.5702410184454383
11;937;0.5699267736560555
12;937;0.5687574907188166
13;937;0.5687136426086703
14;937;0.5730874915957789
15;937;0.5740996521383263
16;937;0.5741836943494403
17;916;0.572007095410628
18;915;0.5813189720332578
19;897;0.5820987846438741
20;895;0.6092155363440592
21;872;0.6090469358475097
22;864;0.6393572465270578
23;830;0.6250170881749829
24;814;0.6332541724388152
25;770;0.623624346432788
26;752;0.6440337462575267
27;706;0.6532499472108708
28;686;0.663129429810642
29;642;0.668127845453427
30;618;0.6862002490745005
31;582;0.6989406779661016
32;547;0.699630230880231
33;509;0.6903611530986828
34;483;0.6792987843088106
35;452;0.6538893044128645
36;424;0.6512534818941503
37;399;0.6246261216350948
38;382;0.6370508326029799
39;353;0.6177161654135338
40;337;0.6352164343360235
ROC_AUC_SCORE weighted;0.6042944339468784;
F1_SCORE weighted;0.13499985092957964;
