SELECTED COLUMNS;
Work_Order_Qty
Activity_Turning & Milling - Machine 4
Resource_ID0998
Resource_ID4794
Resource.1_Machine 4 - Turning & Milling
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;44;0.5595238095238095
2;41;0.6507936507936508
3;36;0.657190635451505
4;30;0.6875
5;25;0.7133333333333334
6;22;0.7857142857142857
7;19;0.8571428571428572
8;18;0.8571428571428571
9;13;0.925
10;9;1.0
11;7;1.0
12;6;1.0
13;6;1.0
14;4;1.0
15;3;1.0
16;2;1.0
ROC_AUC_SCORE weighted;0.7419080123199117;
F1_SCORE weighted;0.6072780201340395;
