SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
std_Leucocytes
std_CRP
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.6063149480415667
2;157;0.6266986410871302
3;157;0.6159072741806555
4;157;0.6031175059952038
5;157;0.6091127098321344
6;157;0.6063149480415667
7;157;0.6386890487609912
8;157;0.6390887290167866
9;154;0.6356209150326797
10;152;0.6314262023217246
11;141;0.643
12;129;0.639751552795031
13;109;0.6868686868686869
14;90;0.6996951219512196
15;78;0.6982142857142857
16;60;0.6049382716049383
17;49;0.5772727272727273
18;38;0.16666666666666669
19;36;0.1764705882352941
20;32;0.16666666666666669
21;28;0.13461538461538458
22;24;0.15909090909090906
23;21;0.1842105263157895
24;19;0.20588235294117646
25;17;0.2
26;16;0.21428571428571425
27;16;0.21428571428571425
28;15;0.1923076923076923
29;13;0.13636363636363635
ROC_AUC_SCORE weighted;0.5810842138478987;
F1_SCORE weighted;0.0;
