SELECTED COLUMNS;
Diagnose
mean_open_cases
mean_hour
DisfuncOrg
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.7171717171717172
2;157;0.7127946127946129
3;157;0.7043771043771043
4;157;0.7023569023569023
5;156;0.7358024691358024
6;155;0.7277777777777777
7;154;0.7204678362573099
8;154;0.7192982456140351
9;143;0.6824212271973467
10;135;0.8123076923076923
11;124;0.7741046831955922
12;113;0.7363636363636363
13;97;0.6914893617021277
ROC_AUC_SCORE weighted;0.725226995089882;
F1_SCORE weighted;0.15473796119171324;
