CaseID,Len
1000,1
1000,2
1000,3
1000,4
1001,1
1001,10
1001,11
1001,12
1001,13
1001,14
1001,15
1001,16
1001,17
1001,18
1001,19
1001,2
1001,20
1001,21
1001,22
1001,23
1001,24
1001,25
1001,26
1001,27
1001,28
1001,29
1001,3
1001,30
1001,31
1001,32
1001,33
1001,34
1001,35
1001,36
1001,37
1001,38
1001,39
1001,4
1001,40
1001,5
1001,6
1001,7
1001,8
1001,9
1002,1
1002,10
1002,11
1002,12
1002,13
1002,14
1002,15
1002,16
1002,17
1002,18
1002,19
1002,2
1002,20
1002,21
1002,22
1002,23
1002,24
1002,25
1002,26
1002,27
1002,28
1002,29
1002,3
1002,30
1002,31
1002,32
1002,33
1002,34
1002,35
1002,36
1002,37
1002,38
1002,39
1002,4
1002,40
1002,5
1002,6
1002,7
1002,8
1002,9
1003,1
1003,10
1003,11
1003,12
1003,13
1003,14
1003,15
1003,16
1003,17
1003,18
1003,19
1003,2
1003,20
1003,21
1003,22
1003,23
1003,24
1003,25
1003,26
1003,27
1003,28
1003,29
1003,3
1003,30
1003,31
1003,32
1003,33
1003,34
1003,4
1003,5
1003,6
1003,7
1003,8
1003,9
1004,1
1004,10
1004,11
1004,12
1004,13
1004,14
1004,15
1004,16
1004,17
1004,18
1004,19
1004,2
1004,20
1004,21
1004,22
1004,23
1004,24
1004,25
1004,26
1004,27
1004,28
1004,29
1004,3
1004,30
1004,31
1004,32
1004,33
1004,34
1004,35
1004,36
1004,4
1004,5
1004,6
1004,7
1004,8
1004,9
1005,1
1005,10
1005,11
1005,12
1005,13
1005,14
1005,15
1005,16
1005,17
1005,18
1005,19
1005,2
1005,20
1005,21
1005,22
1005,23
1005,24
1005,25
1005,26
1005,27
1005,28
1005,29
1005,3
1005,30
1005,31
1005,32
1005,33
1005,34
1005,35
1005,36
1005,4
1005,5
1005,6
1005,7
1005,8
1005,9
1006,1
1006,10
1006,11
1006,12
1006,13
1006,14
1006,15
1006,16
1006,17
1006,18
1006,19
1006,2
1006,20
1006,21
1006,22
1006,23
1006,24
1006,25
1006,26
1006,27
1006,28
1006,29
1006,3
1006,30
1006,31
1006,32
1006,33
1006,34
1006,35
1006,36
1006,37
1006,38
1006,39
1006,4
1006,40
1006,5
1006,6
1006,7
1006,8
1006,9
1007,1
1007,10
1007,11
1007,12
1007,13
1007,2
1007,3
1007,4
1007,5
1007,6
1007,7
1007,8
1007,9
1008,1
1008,10
1008,11
1008,12
1008,13
1008,14
1008,15
1008,16
1008,17
1008,18
1008,19
1008,2
1008,20
1008,21
1008,22
1008,23
1008,24
1008,25
1008,26
1008,27
1008,28
1008,29
1008,3
1008,30
1008,31
1008,32
1008,33
1008,34
1008,35
1008,36
1008,37
1008,38
1008,39
1008,4
